facility_name,facility_code,facility_type,latitude,longitude,admin1,status,country,ownership,data_source,coordinate_valid,open_date,open_year,uid,admin2,zone,coordinate_source,ownership_detail,catchment_population,urban_rural_strata,inpatient,outpatient,maternity,emergency,laboratory,malaria_services,extraction_date,data_quality_flag
A+A,MC010002,Clinic,-13.797421,33.885631,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
A.C Opticals,BT240003,Clinic,-15.8,35.03,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Akwezeke Pvt,BT240005,Clinic,-15.84,35.09,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Abowa,BT240006,Clinic,-15.84,35.09,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
ABC Clinic,LL040007,Hospital,-13.96816,33.74129,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Achikondi,LL040010,Dispensary,-13.95473,33.7793,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Adventist Health Centre,LL040011,Hospital,-13.95473,33.7793,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Adventist,LL040012,Health Centre,-13.95473,33.7793,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Africa Leaf Clinic Kanengo,LL040013,Clinic,-13.8898,33.80487,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AHI,ZA230014,Clinic,-15.38361,35.3223,South West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Airwing,ZA230015,Clinic,-15.38876,35.38508,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Airwing,LL040016,Dispensary,-13.96162,33.69679,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Akalole Clinic,NT120017,Clinic,-14.511149,34.460536,Centrals West Zone,Non-functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Akasale,CR260018,Hospital,-15.7594487,35.1148531,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alinafe,NK100019,Hospital,-13.38789,34.24292,Central East Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alinafe,MC190020,Clinic,-14.79853,35.44326,South West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alinafe Private Clinic,MG200021,Clinic,-14.4790606,35.2574859,South West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alinafe Private Clinic,MC010022,Clinic,-13.83069,33.04117,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alliance one Clinic,LL040023,Clinic,-13.89571,33.80108,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alumenda Estate Clinic,CK270024,Clinic,-15.3947344,34.653817,South East Zone,Non-functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Alumenda,CK270025,Health Centre,-16.403467,34.885647,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Amalika,TH310026,Dispensary,-15.99203,35.03183,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
AMECA (Chilaweni),BT240028,Clinic,-15.703336,35.04442,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Anchor Farm,KU070030,Health Centre,-13.41,33.39,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Anchor Health Centre,KU070031,Health Centre,-13.414103,33.39074,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Aquid Lifeline Clinic,BT240032,Clinic,-15.62217,35.05604,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Area 18,LL040033,Health Centre,-13.94131,33.78051,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Area 18 Medi clinic,LL040034,Clinic,-13.94454,33.77083,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Area 24 Private Clinic,LL040035,Clinic,-14.0205,33.79967,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja la mtsogolo,LL040036,Unclassified,-13.89488,33.76206,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Area 25,LL040037,Health Centre,-13.89272,33.77465,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Area 30 clinic,LL040038,Clinic,-13.9279,33.78419,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Area 36 Living Waters,LL040039,Dispensary,-14.0119727,33.7787036,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Army,LK180040,Dispensary,-12.08098,34.731191,North Zone,Non-functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chitekwe,BT240041,Health Centre,-15.84,35.09,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Asante Private Clinic,SA090042,Clinic,-13.77065,34.44174,Central East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Asimec,NT080043,Clinic,-13.3587,33.91619,Central East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chakunyanja,KB050044,Clinic,-11.61,34.3,North Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
As-slam clinic,MG200045,Clinic,-14.54537,35.19221,South West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Atupele,KA150046,Hospital,-9.73682,33.83744,North Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Auction Holdings Clinic,BT240048,Clinic,-15.81195,35.06417,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Auction,MZ160049,Clinic,-11.46341,34.02053,North Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Auction Holdings Clinic,LL040050,Dispensary,-13.89089,33.79952,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ayali Private Clinic,BT240051,Clinic,-15.66,35.02,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Balaka Banja La Mtsogolo clinic,BK170052,Clinic,-14.98876,34.95557,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Balaka District Hospital,BK170053,District Hospital,-14.98498,34.94959,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Dream Clinic,BK170054,Clinic,-15.00322,34.95248,South West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Balaka Private Clinic,BK170055,Clinic,-14.98339,34.9617,South West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Maziko,LL040057,Clinic,-14.00507,33.81629,Centrals West Zone,Non-functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bangwe,BT240059,Health Centre,-15.823832,35.080477,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BLM,KB050060,Clinic,-11.609069999999999,34.29899,North Zone,Closed,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja Care Clinic,BT240061,Clinic,-16.01,35.49,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja la Mtsogolo,CP060062,Clinic,-15.3890539,35.320048,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Baptist health centre,SA090064,Health Centre,-13.73887,34.59749,Central East Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bayani,NT120065,Health Post,-15.1729008,34.6966684,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Baylor,LL040066,Clinic,-13.977985,33.786847,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BB Clinic,DE030067,Clinic,-14.3874968,34.3291278,Centrals West Zone,Non-functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Beit Cure,BT240068,Hospital,-15.80354,35.01753,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bereu,CK270069,Dispensary,-16.15199,34.85376,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bello,CK270070,Dispensary,-16.26044,34.86844,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Belton Kapyepye Memorial Clini,BT240071,Clinic,-15.80869,34.99434,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bembeke,DE030072,Health Centre,-14.35825,34.42432,Centrals West Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Chipatala cha boma,NK100073,Health Centre,-13.36846,34.27404,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kachale,BT240074,Clinic,-15.78018,35.07352,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bethesda,TH310075,Clinic,-16.01,35.31,South East Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bethsaida,NK100076,Clinic,-12.846881,34.245704,Central East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bethsaida,LL040077,Hospital,-13.93387,33.79202,Centrals West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BKM PVT Clinic,BT240078,Clinic,-15.78826,35.00554,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bilal islamic,CR260079,Hospital,-15.7414865,35.1304713,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bilila,NT120080,Health Centre,-14.82489,34.85134,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Biliwiri,NT120081,Health Centre,-14.817,34.638306,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Billy Riordan clinic,MG200082,Clinic,-14.0319916,34.8402186,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bimbi,ZA230083,Health Centre,-15.30876,35.4794,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Blantyre Adventist Hospital,BT240084,Hospital,-15.7824,35.0031,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
City assembly,BT240085,Clinic,-15.8,35.04,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Blantyre Dream Project (Mandala),BT240087,Health Centre,-15.79182,35.01273,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Makadam Pvt Clinic,BT240088,Clinic,-15.786933,35.007778,South East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Blantyre Water Board - Mudi,BT240089,Clinic,-15.7953,35.03811,South East Zone,Functional,Malawi,Other,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Blessings,LL040091,Hospital,-13.79099,33.81707,Centrals West Zone,Functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bliss,SA090092,Dispensary,-13.78929,34.46206,Central East Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja la mtsogolo,TH310093,Clinic,-15.93133,35.08213,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja la mtsogolo,LL040094,Clinic,-13.99646,33.77897,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Kawale Banja la mtsogolo,LL040095,Clinic,-13.9915,33.79514,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja la Mtsongolo,MC190096,Clinic,-15.0694,35.22766,South West Zone,Non-functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BLM Lunzu,BT240097,Clinic,-15.65114,35.02028,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BLM,MC010098,Clinic,-13.79508,32.89221,Centrals West Zone,Non-functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Midima BLM,CR260099,Dispensary,-15.83121,35.08006,South East Zone,Non-functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja la Mtsogolo,DA020100,Clinic,-13.53197,33.73802,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BLM,MZ160101,Clinic,-11.89882,33.59402,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BLM,MZ160102,Clinic,-11.45612,34.01638,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Ntcheu BLM,NT120103,Clinic,-14.81394,34.63512,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Banja Lamtsogolo,BT240104,Clinic,-15.8,35,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
BLM Zingwangwa Clinic,BT240105,Clinic,-15.81847,35.01171,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bloomfield,MU210106,Dispensary,-16.057405,35.673299,South West Zone,Functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bolero hospital,RU140107,Hospital,-10.97843,33.74342,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bondo health center,MU210108,Health Centre,-16.04267,35.61388,South West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Boulos,LL040109,Clinic,-13.98821,33.76929,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bowa,DE030110,Clinic,-14.3102,34.65581,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bowe,DA020111,Health Centre,-13.27878,33.68392,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Brothers Private Clinic,DE030112,Clinic,-14.397146,34.327339,Centrals West Zone,Non-functional,Malawi,Private,Malawi Health Facility Registry (MHFR),FALSE,NA,NA,MWI-000111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,low
Bua,KU070113,Health Centre,-13.29403,33.53859,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bua,NK100114,Health Centre,-12.7967,34.20971,Central East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bula,KB050115,Health Centre,-11.22268,34.12324,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bulala,MZ160116,Health Centre,-11.6781,33.44798,North Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Buli,LL040118,Health Post,-13.919059,33.705512,Centrals West Zone,Non-functional,Malawi,Faith-Based / NGO,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bunda campus,LL040119,Health Centre,-14.18038,33.77554,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Research,TH310121,Health Centre,-15.93981,35.02633,South East Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bottom,LL040122,District Hospital,-13.99164,33.77561,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
Bwanje,NT120123,Health Centre,-14.64857,34.77445,Centrals West Zone,Functional,Malawi,Public,Malawi Health Facility Registry (MHFR),TRUE,NA,NA,MWI-000122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,high
