facility_name,facility_code,facility_type,facility_ownership,latitude,longitude,admin1,status,service_category,service_group,service_detail
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,Maternity,Maternity,Maternity
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,Dental,Dental,Dental
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Namatindi Rural Health Centre,1835,Health Centre,Public,-14.44888262,22.76034052,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,Maternity,Maternity,Maternity
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,Dental,Dental,Dental
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Kaluwe Rural Health Centre,1815,Health Centre,Public,-14.501655,22.134218,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Mankhaka  Health Post,2564,Health Post,Public,-12.28888333,33.17441667,Eastern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Mankhaka  Health Post,2564,Health Post,Public,-12.28888333,33.17441667,Eastern,Functional,Public Health Services,Public Health Services,Public Health Services
Mankhaka  Health Post,2564,Health Post,Public,-12.28888333,33.17441667,Eastern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Mankhaka  Health Post,2564,Health Post,Public,-12.28888333,33.17441667,Eastern,Functional,Maternity,Maternity,Maternity
Chisu Health Post,4084,Health Post,Public,-17.264517,24.383903,Western,Functional,Maternity,Maternity,Maternity
Chisu Health Post,4084,Health Post,Public,-17.264517,24.383903,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Chisu Health Post,4084,Health Post,Public,-17.264517,24.383903,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Chisu Health Post,4084,Health Post,Public,-17.264517,24.383903,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Resuscitation and Emergency Medicine,Resuscitation and Emergency Medicine,Resuscitation and Emergency Medicine
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Critical Care Medicine (High Dependency Care),Critical Care Medicine (High Dependency Care),Critical Care Medicine (High Dependency Care)
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Internal Medicine (Infectious and None Communicable Medicine),Internal Medicine (Infectious and None Communicable Medicine),Internal Medicine (Infectious and None Communicable Medicine)
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Dental,Dental,Dental
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Ophthalmology,Ophthalmology,Ophthalmology
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Obstetrics and Gynaecology,Obstetrics and Gynaecology,Obstetrics and Gynaecology
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Palliative care services,Palliative care services,Palliative care services
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Patient Referral and Transfer,Patient Referral and Transfer,Patient Referral and Transfer
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation,Physiotherapy and Rehabilitation
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Psychiatry and Mental Health,Psychiatry and Mental Health,Psychiatry and Mental Health
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Imaging such as radiology and sonography (Simple and Special),Imaging such as radiology and sonography (Simple and Special),Imaging such as radiology and sonography (Simple and Special)
Chienge District Hospital,4157,1st Level Hospital,Public,-8.65494,29.16818,Luapula,Functional,Surgery,Surgery,Surgery
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,Maternity,Maternity,Maternity
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,Public Health Services,Public Health Services,Public Health Services
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,Dental,Dental,Dental
Nanzhila Rural Health Centre,1337,Health Centre,Public,-16.095959,26.08017,Southern,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,Maternity,Maternity,Maternity
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,Dental,Dental,Dental
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Lealui Rural Health Centre,3467,Health Centre,Public,-15.23853,23.024347,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Katondo Urban Health Centre,1830,Health Centre,Public,-14.45656559,28.471535,Central,Functional,Public Health Services,Public Health Services,Public Health Services
Katondo Urban Health Centre,1830,Health Centre,Public,-14.45656559,28.471535,Central,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Katondo Urban Health Centre,1830,Health Centre,Public,-14.45656559,28.471535,Central,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Katondo Urban Health Centre,1830,Health Centre,Public,-14.45656559,28.471535,Central,Functional,Maternity,Maternity,Maternity
Katondo Urban Health Centre,1830,Health Centre,Public,-14.45656559,28.471535,Central,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Katondo Urban Health Centre,1830,Health Centre,Public,-14.45656559,28.471535,Central,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,Maternity,Maternity,Maternity
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,Dental,Dental,Dental
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Mutanda Rural Health Centre,2503,Health Centre,Public,-12.422681,26.220345,North-Western,Functional,Public Health Services,Public Health Services,Public Health Services
Hamatuba Health Post,3283,Health Post,Public,-16.77294134,28.06408955,Southern,Functional,Public Health Services,Public Health Services,Public Health Services
Hamatuba Health Post,3283,Health Post,Public,-16.77294134,28.06408955,Southern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Hamatuba Health Post,3283,Health Post,Public,-16.77294134,28.06408955,Southern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Hamatuba Health Post,3283,Health Post,Public,-16.77294134,28.06408955,Southern,Functional,Maternity,Maternity,Maternity
Lumbe Nanyenzu Health Post,3237,Health Post,Public,-16.105277,23.298611,Western,Functional,Maternity,Maternity,Maternity
Lumbe Nanyenzu Health Post,3237,Health Post,Public,-16.105277,23.298611,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Lumbe Nanyenzu Health Post,3237,Health Post,Public,-16.105277,23.298611,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Lumbe Nanyenzu Health Post,3237,Health Post,Public,-16.105277,23.298611,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Kawaza Rural Health Post,1901,Health Post,Public,-14.256272,32.164201,Eastern,Functional,Maternity,Maternity,Maternity
Kawaza Rural Health Post,1901,Health Post,Public,-14.256272,32.164201,Eastern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Kawaza Rural Health Post,1901,Health Post,Public,-14.256272,32.164201,Eastern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Kawaza Rural Health Post,1901,Health Post,Public,-14.256272,32.164201,Eastern,Functional,Public Health Services,Public Health Services,Public Health Services
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,Maternity,Maternity,Maternity
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,Dental,Dental,Dental
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Katuta Rural Health Centre,2817,Health Centre,Public,-10.7849,28.5906,Luapula,Functional,Public Health Services,Public Health Services,Public Health Services
Choma Health Post,3240,Health Post,Public,-10.3632,33.40582,Muchinga,Functional,Public Health Services,Public Health Services,Public Health Services
Choma Health Post,3240,Health Post,Public,-10.3632,33.40582,Muchinga,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Choma Health Post,3240,Health Post,Public,-10.3632,33.40582,Muchinga,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Choma Health Post,3240,Health Post,Public,-10.3632,33.40582,Muchinga,Functional,Maternity,Maternity,Maternity
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,Public Health Services,Public Health Services,Public Health Services
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,Maternity,Maternity,Maternity
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,Dental,Dental,Dental
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Mpidi Health Centre,4020,Health Centre,Public,-14.159019734304,23.316753999023,North-Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Makia Health Post,1772,Health Post,Public,-14.700629,22.368515,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Makia Health Post,1772,Health Post,Public,-14.700629,22.368515,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Makia Health Post,1772,Health Post,Public,-14.700629,22.368515,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Makia Health Post,1772,Health Post,Public,-14.700629,22.368515,Western,Functional,Maternity,Maternity,Maternity
Lutwi Health Post,1805,Health Post,Public,-14.54194624,22.27855835,Western,Functional,Maternity,Maternity,Maternity
Lutwi Health Post,1805,Health Post,Public,-14.54194624,22.27855835,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Lutwi Health Post,1805,Health Post,Public,-14.54194624,22.27855835,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Lutwi Health Post,1805,Health Post,Public,-14.54194624,22.27855835,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,Maternity,Maternity,Maternity
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,Dental,Dental,Dental
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Shilenda Rural Health Centre,2509,Health Centre,Public,-12.392532,25.767549,North-Western,Functional,Public Health Services,Public Health Services,Public Health Services
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,Dental,Dental,Dental
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Limulunga Stage II Rural Health Centre,1664,Health Centre,Public,-15.13463,23.14575,Western,Functional,Maternity,Maternity,Maternity
Situlu Health Post,1097,Health Post,Public,-17.276812,25.017909,Western,Functional,Public Health Services,Public Health Services,Public Health Services
Situlu Health Post,1097,Health Post,Public,-17.276812,25.017909,Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Situlu Health Post,1097,Health Post,Public,-17.276812,25.017909,Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Situlu Health Post,1097,Health Post,Public,-17.276812,25.017909,Western,Functional,Maternity,Maternity,Maternity
Lubilo Health Post,3981,Health Post,Public,-13.184307,24.907225,North-Western,Functional,Maternity,Maternity,Maternity
Lubilo Health Post,3981,Health Post,Public,-13.184307,24.907225,North-Western,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Lubilo Health Post,3981,Health Post,Public,-13.184307,24.907225,North-Western,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Lubilo Health Post,3981,Health Post,Public,-13.184307,24.907225,North-Western,Functional,Public Health Services,Public Health Services,Public Health Services
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,Public Health Services,Public Health Services,Public Health Services
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,Maternity,Maternity,Maternity
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,Dental,Dental,Dental
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Bwanunkha Rural Health Centre,2004,Health Centre,Public,-13.934065,32.576443,Eastern,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Shimulala Health Post,2566,Health Post,Public,-12.494461896503,27.810874970703,Copperbelt,Functional,Public Health Services,Public Health Services,Public Health Services
Shimulala Health Post,2566,Health Post,Public,-12.494461896503,27.810874970703,Copperbelt,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Shimulala Health Post,2566,Health Post,Public,-12.494461896503,27.810874970703,Copperbelt,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Shimulala Health Post,2566,Health Post,Public,-12.494461896503,27.810874970703,Copperbelt,Functional,Maternity,Maternity,Maternity
Mushika Health Post,2904,Health Post,Public,-9.960946,30.747583,Northern,Functional,Public Health Services,Public Health Services,Public Health Services
Mushika Health Post,2904,Health Post,Public,-9.960946,30.747583,Northern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Mushika Health Post,2904,Health Post,Public,-9.960946,30.747583,Northern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Mushika Health Post,2904,Health Post,Public,-9.960946,30.747583,Northern,Functional,Maternity,Maternity,Maternity
Konkola Health Post,2557,Health Post,Public,-12.29901243,27.75720412,Copperbelt,Functional,Maternity,Maternity,Maternity
Konkola Health Post,2557,Health Post,Public,-12.29901243,27.75720412,Copperbelt,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Konkola Health Post,2557,Health Post,Public,-12.29901243,27.75720412,Copperbelt,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Konkola Health Post,2557,Health Post,Public,-12.29901243,27.75720412,Copperbelt,Functional,Public Health Services,Public Health Services,Public Health Services
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,Dental,Dental,Dental
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,Public Health Services,Public Health Services,Public Health Services
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Kawama Rural Health Centre,2893,Health Centre,Public,-10.084,28.63336,Luapula,Functional,Maternity,Maternity,Maternity
Misaka Health Post,2280,Health Post,Public,-13.029763,28.453016,Copperbelt,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Misaka Health Post,2280,Health Post,Public,-13.029763,28.453016,Copperbelt,Functional,Public Health Services,Public Health Services,Public Health Services
Misaka Health Post,2280,Health Post,Public,-13.029763,28.453016,Copperbelt,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Misaka Health Post,2280,Health Post,Public,-13.029763,28.453016,Copperbelt,Functional,Maternity,Maternity,Maternity
Fikombo Health Post,3092,Health Post,Public,-11.911045667437,28.645105057526,Luapula,Functional,Maternity,Maternity,Maternity
Fikombo Health Post,3092,Health Post,Public,-11.911045667437,28.645105057526,Luapula,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Fikombo Health Post,3092,Health Post,Public,-11.911045667437,28.645105057526,Luapula,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Fikombo Health Post,3092,Health Post,Public,-11.911045667437,28.645105057526,Luapula,Functional,Public Health Services,Public Health Services,Public Health Services
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,Public Health Services,Public Health Services,Public Health Services
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,Maternity,Maternity,Maternity
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,Dental,Dental,Dental
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Chembe Rural Health Centre,3605,Health Centre,Public,-11.967709543184,28.745475279713,Luapula,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,Dental,Dental,Dental
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,General Practice Consultation & Treatment,General Practice Consultation & Treatment,General Practice Consultation & Treatment
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,"MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)","MCH (Under 5, Family planning, antenatal, postnatal & immunisation)"
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,Maternity,Maternity,Maternity
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,Laboratory Services,Laboratory Services,Laboratory Services
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,Public Health Services,Public Health Services,Public Health Services
Hamapande Rural Health Centre,1281,Health Centre,Public,-16.30163888,27.12485061,Southern,Functional,ART & VMMC,ART & VMMC,ART & VMMC
Mayanga Health Post,3530,Health Post,Public,-8.786396,31.390706,Northern,Functional,Maternity,Maternity,Maternity
